image_path,filename,cluster_id
/Users/qingfengliu/Desktop/fashion-pic/20170118191056742_1000.jpg,20170118191056742_1000.jpg,8
/Users/qingfengliu/Desktop/fashion-pic/20171210170144437_1000.jpg,20171210170144437_1000.jpg,7
/Users/qingfengliu/Desktop/fashion-pic/20181205170328629_1000.jpg,20181205170328629_1000.jpg,9
/Users/qingfengliu/Desktop/fashion-pic/20190103092857300_1000.jpg,20190103092857300_1000.jpg,16
/Users/qingfengliu/Desktop/fashion-pic/20190113092841286_1000.jpg,20190113092841286_1000.jpg,2
/Users/qingfengliu/Desktop/fashion-pic/20190207213248622_1000.jpg,20190207213248622_1000.jpg,9
/Users/qingfengliu/Desktop/fashion-pic/20190226070505471_1000.jpg,20190226070505471_1000.jpg,15
/Users/qingfengliu/Desktop/fashion-pic/20191217060055219_1000.jpg,20191217060055219_1000.jpg,1
/Users/qingfengliu/Desktop/fashion-pic/20200127180808836_1000.jpg,20200127180808836_1000.jpg,13
/Users/qingfengliu/Desktop/fashion-pic/20200203183156756_1000.jpg,20200203183156756_1000.jpg,4
/Users/qingfengliu/Desktop/fashion-pic/20200206150504728_1000.jpg,20200206150504728_1000.jpg,7
/Users/qingfengliu/Desktop/fashion-pic/20200225060555439_1000.jpg,20200225060555439_1000.jpg,18
/Users/qingfengliu/Desktop/fashion-pic/20201209170009991_1000.jpg,20201209170009991_1000.jpg,7
/Users/qingfengliu/Desktop/fashion-pic/20201220183024485_1000.jpg,20201220183024485_1000.jpg,1
/Users/qingfengliu/Desktop/fashion-pic/20201223014736512_1000.jpg,20201223014736512_1000.jpg,1
/Users/qingfengliu/Desktop/fashion-pic/20201225032737958_1000.jpg,20201225032737958_1000.jpg,9
/Users/qingfengliu/Desktop/fashion-pic/20201225071414851_1000.jpg,20201225071414851_1000.jpg,16
/Users/qingfengliu/Desktop/fashion-pic/20201230060036146_1000.jpg,20201230060036146_1000.jpg,13
/Users/qingfengliu/Desktop/fashion-pic/20210111161100757_1000.jpg,20210111161100757_1000.jpg,10
/Users/qingfengliu/Desktop/fashion-pic/20210129180849457_1000.jpg,20210129180849457_1000.jpg,1
/Users/qingfengliu/Desktop/fashion-pic/20210202221031788_1000.jpg,20210202221031788_1000.jpg,17
/Users/qingfengliu/Desktop/fashion-pic/20210216180202663_1000.jpg,20210216180202663_1000.jpg,10
/Users/qingfengliu/Desktop/fashion-pic/20210223160149414_1000.jpg,20210223160149414_1000.jpg,8
/Users/qingfengliu/Desktop/fashion-pic/Aquascutum_mens_25-26aw-007.jpg,Aquascutum_mens_25-26aw-007.jpg,19
/Users/qingfengliu/Desktop/fashion-pic/Aquascutum_mens_25-26aw-008.jpg,Aquascutum_mens_25-26aw-008.jpg,20
/Users/qingfengliu/Desktop/fashion-pic/Aquascutum_mens_25-26aw-010.jpg,Aquascutum_mens_25-26aw-010.jpg,20
/Users/qingfengliu/Desktop/fashion-pic/Aquascutum_mens_25-26aw-016.jpg,Aquascutum_mens_25-26aw-016.jpg,20
/Users/qingfengliu/Desktop/fashion-pic/Aquascutum_mens_25-26aw-021.jpg,Aquascutum_mens_25-26aw-021.jpg,17
/Users/qingfengliu/Desktop/fashion-pic/Aquascutum_mens_25-26aw-022.jpg,Aquascutum_mens_25-26aw-022.jpg,20
/Users/qingfengliu/Desktop/fashion-pic/ArtofTANAKA_2025aw_001.jpg,ArtofTANAKA_2025aw_001.jpg,2
/Users/qingfengliu/Desktop/fashion-pic/ArtofTANAKA_2025aw_002.jpg,ArtofTANAKA_2025aw_002.jpg,18
/Users/qingfengliu/Desktop/fashion-pic/ArtofTANAKA_2025aw_006.jpg,ArtofTANAKA_2025aw_006.jpg,13
/Users/qingfengliu/Desktop/fashion-pic/ArtofTANAKA_2025aw_009.jpg,ArtofTANAKA_2025aw_009.jpg,18
/Users/qingfengliu/Desktop/fashion-pic/ArtofTANAKA_2025aw_019.jpg,ArtofTANAKA_2025aw_019.jpg,7
/Users/qingfengliu/Desktop/fashion-pic/ArtofTANAKA_2025aw_020.jpg,ArtofTANAKA_2025aw_020.jpg,7
/Users/qingfengliu/Desktop/fashion-pic/ArtofTANAKA_2025aw_022.jpg,ArtofTANAKA_2025aw_022.jpg,2
/Users/qingfengliu/Desktop/fashion-pic/ArtofTANAKA_2025aw_034.jpg,ArtofTANAKA_2025aw_034.jpg,2
/Users/qingfengliu/Desktop/fashion-pic/ArtofTANAKA_2025aw_036.jpg,ArtofTANAKA_2025aw_036.jpg,2
/Users/qingfengliu/Desktop/fashion-pic/ArtofTANAKA_2025aw_048.jpg,ArtofTANAKA_2025aw_048.jpg,2
/Users/qingfengliu/Desktop/fashion-pic/ArtofTANAKA_2025aw_049.jpg,ArtofTANAKA_2025aw_049.jpg,7
/Users/qingfengliu/Desktop/fashion-pic/ArtofTANAKA_2025aw_051.jpg,ArtofTANAKA_2025aw_051.jpg,2
/Users/qingfengliu/Desktop/fashion-pic/BASEMARK_2025aw_003.jpg,BASEMARK_2025aw_003.jpg,2
/Users/qingfengliu/Desktop/fashion-pic/BASEMARK_2025aw_004.jpg,BASEMARK_2025aw_004.jpg,2
/Users/qingfengliu/Desktop/fashion-pic/BASEMARK_2025aw_005.jpg,BASEMARK_2025aw_005.jpg,2
/Users/qingfengliu/Desktop/fashion-pic/BASEMARK_2025aw_009.jpg,BASEMARK_2025aw_009.jpg,2
/Users/qingfengliu/Desktop/fashion-pic/BASEMARK_2025aw_012.jpg,BASEMARK_2025aw_012.jpg,2
/Users/qingfengliu/Desktop/fashion-pic/BASEMARK_2025aw_014.jpg,BASEMARK_2025aw_014.jpg,2
/Users/qingfengliu/Desktop/fashion-pic/BASEMARK_2025aw_018.jpg,BASEMARK_2025aw_018.jpg,2
/Users/qingfengliu/Desktop/fashion-pic/BASEMARK_2025aw_024.jpg,BASEMARK_2025aw_024.jpg,2
/Users/qingfengliu/Desktop/fashion-pic/BASEMARK_2025aw_025.jpg,BASEMARK_2025aw_025.jpg,2
/Users/qingfengliu/Desktop/fashion-pic/BASEMARK_2025aw_028.jpg,BASEMARK_2025aw_028.jpg,2
/Users/qingfengliu/Desktop/fashion-pic/CALEE_25aw-002.jpg,CALEE_25aw-002.jpg,4
/Users/qingfengliu/Desktop/fashion-pic/CALEE_25aw-010.jpg,CALEE_25aw-010.jpg,4
/Users/qingfengliu/Desktop/fashion-pic/CALEE_25aw-011.jpg,CALEE_25aw-011.jpg,4
/Users/qingfengliu/Desktop/fashion-pic/CALEE_25aw-020.jpg,CALEE_25aw-020.jpg,4
/Users/qingfengliu/Desktop/fashion-pic/CALEE_25aw-028.jpg,CALEE_25aw-028.jpg,4
/Users/qingfengliu/Desktop/fashion-pic/CINOH_25-26aw_001.jpg,CINOH_25-26aw_001.jpg,3
/Users/qingfengliu/Desktop/fashion-pic/CINOH_25-26aw_004.jpg,CINOH_25-26aw_004.jpg,3
/Users/qingfengliu/Desktop/fashion-pic/CINOH_25-26aw_007.jpg,CINOH_25-26aw_007.jpg,3
/Users/qingfengliu/Desktop/fashion-pic/CINOH_25-26aw_009.jpg,CINOH_25-26aw_009.jpg,3
/Users/qingfengliu/Desktop/fashion-pic/CINOH_25-26aw_010.jpg,CINOH_25-26aw_010.jpg,3
/Users/qingfengliu/Desktop/fashion-pic/CINOH_25-26aw_014.jpg,CINOH_25-26aw_014.jpg,3
/Users/qingfengliu/Desktop/fashion-pic/CINOH_25-26aw_022.jpg,CINOH_25-26aw_022.jpg,3
